nombre;desag;ind;error;dimension
Prevalencia de anemia;MOQUEGUA;28.8414533860373;12.4336132551665;SALUD
Prevalencia de anemia;PASCO;26.059327820989;8.29543458143552;SALUD
Prevalencia de anemia;PIURA;26.0207199980116;7.32158740407419;SALUD
Prevalencia de anemia;PUNO;29.4326677256399;9.51422485982689;SALUD
Prevalencia de anemia;SAN MARTIN;27.6868777981376;8.05256491553113;SALUD
Prevalencia de anemia;TACNA;21.907285570336;7.70318528998324;SALUD
Prevalencia de anemia;TUMBES;24.4378790193529;8.12362222964125;SALUD
Prevalencia de anemia;UCAYALI;34.6380749935284;7.26497489467394;SALUD
Prevalencia de anemia;NACIONAL;21.3143330242471;2.16923176836925;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;AMAZONAS;17.9343913985621;8.31623560167017;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;ANCASH;11.5295753243635;6.71796310955838;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;APURIMAC;12.622543047186;7.36462802921615;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;AREQUIPA;27.5078438410251;10.9651908504854;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;AYACUCHO;16.5253723871013;6.6813336520504;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;CAJAMARCA;19.4282344005307;8.91116427426106;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;CALLAO;31.4445884500548;10.1902083916869;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;CUSCO;12.5597920875597;7.05554975427215;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;HUANCAVELICA;6.31828416209157;5.14798818402109;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;HUANUCO;15.0312916203604;6.71027118216725;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;ICA;26.1446124879263;10.0061457166442;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;JUNIN;25.9875028355175;8.95503064747894;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;LA LIBERTAD;27.0171896224852;9.40187946627332;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;LAMBAYEQUE;20.0975791534189;8.89326389750212;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;LIMA REGION;10.3024458490208;6.27703065950035;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;LIMA METROPOLITANA;26.4836481116944;7.38491340286734;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;LORETO;17.8126918188351;5.70319513570561;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;MADRE DE DIOS;24.0592556177918;9.46409098302107;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;MOQUEGUA;24.4349258531472;10.6618132748739;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;PASCO;8.3697857759238;5.85499224670207;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;PIURA;26.1307388255912;7.90049737298339;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;PUNO;5.32172410034911;5.29359417436376;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;SAN MARTIN;26.6141625349257;7.61791035129947;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;TACNA;17.4361901529327;8.12340483433141;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;TUMBES;28.0269864278214;8.89897496256288;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;UCAYALI;20.4709417729695;6.77694127929194;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;HOMBRE;28.2129223212546;3.79838756471467;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;MUJER;15.1484982464518;2.6910082696682;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;AMAZONAS_HOMBRE;20.3528655396728;11.0478286196435;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;ANCASH_HOMBRE;17.440206378925;10.4185852514571;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;APURIMAC_HOMBRE;16.2060308053024;9.38056127482792;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;AREQUIPA_HOMBRE;31.7148995825109;16.6792449279247;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;AYACUCHO_HOMBRE;20.473721241462;10.3762335800303;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;CAJAMARCA_HOMBRE;21.9822003992207;11.5277123538627;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;CALLAO_HOMBRE;32.460091522936;15.0457610710487;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;CUSCO_HOMBRE;10.6056010352962;9.22358720682977;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;HUANCAVELICA_HOMBRE;10.2458426946528;9.46361940926121;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;HUANUCO_HOMBRE;21.4233563762484;10.2140534874544;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;ICA_HOMBRE;30.0461737612139;15.1337530523867;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;JUNIN_HOMBRE;24.3178708104541;13.1309067819153;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;LA LIBERTAD_HOMBRE;29.3441963191331;13.9853673369907;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;LAMBAYEQUE_HOMBRE;26.4551495217876;13.086852931156;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;LIMA_HOMBRE;16.9589407667061;11.5198861348575;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;LIMA METROPOLITANA_HOMBRE;39.4226510859215;10.770513334781;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;LORETO_HOMBRE;25.6994452042476;9.30255384180724;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;MADRE DE DIOS_HOMBRE;29.8546781184517;13.6125605915135;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;MOQUEGUA_HOMBRE;24.2777361234335;13.7202858873991;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;PASCO_HOMBRE;11.3864639666101;10.5406834962986;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;PIURA_HOMBRE;34.2496402264799;12.9526137116553;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;PUNO_HOMBRE;6.08944939750518;8.04682045756671;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;SAN MARTIN_HOMBRE;38.6358420666739;12.6393841033813;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;TACNA_HOMBRE;21.6008314435696;12.3422344828377;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;TUMBES_HOMBRE;34.2211384366156;12.9141676230619;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;UCAYALI_HOMBRE;20.9159814068307;10.3244481695755;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;AMAZONAS_MUJER;15.3514407671662;9.36743420344414;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;ANCASH_MUJER;5.28722447813766;6.0964641841686;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;APURIMAC_MUJER;8.82518807373433;9.26714226224076;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;AREQUIPA_MUJER;23.2430545856615;13.8664858725631;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;AYACUCHO_MUJER;12.2951502696886;7.4814487485565;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;CAJAMARCA_MUJER;16.6687566313953;12.1448167176517;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;CALLAO_MUJER;30.4105922952588;14.7950761881657;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;CUSCO_MUJER;14.6786149219351;11.1221144104976;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;HUANCAVELICA_MUJER;2.28490201682468;3.2771499382511;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;HUANUCO_MUJER;8.44823525933708;7.3323087042049;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;ICA_MUJER;22.2031719592602;13.7981064758129;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;JUNIN_MUJER;27.6396006869998;11.0957862619931;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;LA LIBERTAD_MUJER;24.6049837143264;12.879107935401;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;LAMBAYEQUE_MUJER;13.6304822307359;8.74205682208755;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;LIMA_MUJER;3.11651100012985;4.26267844766343;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;LIMA METROPOLITANA_MUJER;13.4138242289179;7.01514967530588;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;LORETO_MUJER;9.97375204703524;5.41157343924431;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;MADRE DE DIOS_MUJER;17.8770658552964;10.984437274647;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;MOQUEGUA_MUJER;24.5915072656552;16.3352382718477;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;PASCO_MUJER;5.10694084105368;5.96316907313257;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;PIURA_MUJER;17.6198396523188;10.2071136688382;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;PUNO_MUJER;4.52233559592022;4.59518531042613;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;SAN MARTIN_MUJER;13.9526891471108;7.40264029295916;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;TACNA_MUJER;13.2951354088488;10.3638100172911;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;TUMBES_MUJER;21.6532341838095;11.1304848070142;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;UCAYALI_MUJER;20.0359507766424;8.22430979546943;SALUD
Prevalencia de consumo reciente de alcohol o tabaco;NACIONAL;21.7747944511413;2.54078594745584;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;AMAZONAS;14.3579824710426;9.53148894946617;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;ANCASH;21.6567254447018;15.4777993372086;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;APURIMAC;25.9129193676771;18.7246580534451;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;AREQUIPA;24.4626524388547;19.6690445046463;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;AYACUCHO;26.8785483576794;13.2272518522325;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;CAJAMARCA;21.6149401876233;12.4165678204875;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;CALLAO;28.7402133224218;13.1758023964727;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;CUSCO;13.6032550886197;13.4080127223461;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;HUANCAVELICA;18.0093239077478;11.1389628158676;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;HUANUCO;18.0105468749772;8.14991146906502;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;ICA;24.9825240516216;10.2269957990244;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;JUNIN;46.6497768684169;16.5745579062672;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;LA LIBERTAD;31.3575896511597;16.0230182595835;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;LAMBAYEQUE;16.6651083231369;14.5546698421332;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;LIMA REGION;38.5866762056855;15.4809841315412;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;LIMA METROPOLITANA;42.7014534006777;11.6406632821194;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;LORETO;17.3868711618431;7.96485216795667;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;MADRE DE DIOS;33.7034079873682;16.2470456738912;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;MOQUEGUA;50.1316636286889;24.5212636459696;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;PASCO;34.0701447534438;16.4721852750872;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;PIURA;18.4513069732016;12.5178804923286;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;PUNO;14.0762771061969;12.7139688917575;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;SAN MARTIN;17.6099097504194;10.1699740011713;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;TACNA;27.1447117516426;15.6269600447049;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;TUMBES;19.7682700921201;14.0365286609202;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;UCAYALI;18.9565943534129;10.8765607940848;SALUD
Proporción de adolescentes que usó condón en último encuentro sexual;NACIONAL;29.334849277652;4.45481589629081;SALUD
Proporción de adolescentes sexualmente activos con método moderno;AMAZONAS;38.7711235933216;11.6895605365345;SALUD
Proporción de adolescentes sexualmente activos con método moderno;ANCASH;39.5968166593981;14.6676061445853;SALUD
Proporción de adolescentes sexualmente activos con método moderno;APURIMAC;29.9151547097035;12.4356320953621;SALUD
Proporción de adolescentes sexualmente activos con método moderno;AREQUIPA;23.9965580122579;14.1853085489534;SALUD
Proporción de adolescentes sexualmente activos con método moderno;AYACUCHO;30.0814022727913;9.68761510881238;SALUD
Proporción de adolescentes sexualmente activos con método moderno;CAJAMARCA;32.2264749065856;11.4849309625836;SALUD
